1,2,3,4,5,6,7;;;;;;;
1,250,209,2_10_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_10_cell_photo_cr.jpg;1,250,209,2_10_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_10_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_10_cell_photo_cr.jpg
2,339,192,2_10_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_10_cell_photo_cr.jpg;2,339,192,2_10_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_10_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_10_cell_photo_cr.jpg
3,228,261,2_10_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_10_cell_photo_cr.jpg;3,228,261,2_10_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_10_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_10_cell_photo_cr.jpg
1,78,155,2_11_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_11_cell_photo_cr.jpg;1,78,155,2_11_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_11_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_11_cell_photo_cr.jpg
2,129,150,2_11_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_11_cell_photo_cr.jpg;2,129,150,2_11_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_11_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_11_cell_photo_cr.jpg
3,25,141,2_11_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_11_cell_photo_cr.jpg;3,25,141,2_11_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_11_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_11_cell_photo_cr.jpg
1,250,239,2_12_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_12_cell_photo_cr.jpg;1,250,239,2_12_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_12_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_12_cell_photo_cr.jpg
2,227,185,2_12_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_12_cell_photo_cr.jpg;2,227,185,2_12_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_12_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_12_cell_photo_cr.jpg
3,298,317,2_12_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_12_cell_photo_cr.jpg;3,298,317,2_12_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_12_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_12_cell_photo_cr.jpg
1,183,179,2_13_cell_photo_cr.jpg,360,360C:\Users\Администратор\Desktop\ML\foto\2\0705\2_13_cell_photo_cr.jpg;1,183,179,2_13_cell_photo_cr.jpg,360,360;;;;C:\Users\Администратор\Desktop\ML\foto\2\0705\2_13_cell_photo_cr.jpg;C:\Users\Администратор\Desktop\ML\foto\2\0705\;2_13_cell_photo_cr.jpg
